sex,age_group,group,OR,CI_upper,CI_lower
Males,18-64,Model 2,1.003662397,1.00929995,0.998056333
Females,18-64,Model 2,0.999161,1.006951327,0.991430944
All,18-64,Model 2,1.002058609,1.006625071,0.997512863
Males,5-17,Model 2,0.997295822,1.015165288,0.979740903
Females,5-17,Model 2,1.01532854,1.044805144,0.986683546
All,5-17,Model 2,1.001804691,1.016129214,0.987682103
Males,65+,Model 2,1.012971114,1.026420203,0.999698246
Females,65+,Model 2,1.007577308,1.025104123,0.99035016
All,65+,Model 2,1.010930793,1.021569357,1.000403019
Males,All,Model 2,1.004342175,1.009257061,0.999451223
Females,All,Model 2,1.001301245,1.008083314,0.994564803
All,All,Model 2,1.003284404,1.007260453,0.99932405
Males,18-64,Model 1,1.003672602,1.009311322,0.998065383
Females,18-64,Model 1,0.999174501,1.006971338,0.991438035
All,18-64,Model 1,1.002070931,1.006639076,0.997523516
Males,5-17,Model 1,0.997284494,1.015163136,0.979720723
Females,5-17,Model 1,1.015324093,1.044802168,0.986677714
All,5-17,Model 1,1.001796604,1.016126138,0.987669147
Males,65+,Model 1,1.012965432,1.026414459,0.999692626
Females,65+,Model 1,1.007597468,1.025126328,0.990368337
All,65+,Model 1,1.010931799,1.021570377,1.00040401
Males,All,Model 1,1.004351119,1.009266663,0.999459516
Females,All,Model 1,1.001315168,1.008101088,0.994574926
All,All,Model 1,1.003295669,1.007272643,0.999334396
